*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.4.5 (gnd)
*Date=18:40:24
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
230;;TO220 [THT];34.7303;-80.9943;180;Bottom;Q1
231;;;48.7002;-44.7358;0;Bottom;Via167
232;;;78.3336;-70.4979;0;Bottom;Copper Fill394
233;;;94.4118;-62.8398;0;Bottom;Copper Fill21
234;;;60.4477;-17.7484;0;Bottom;Via124
235;;;3.0734;-85.7379;0;Bottom;Copper Fill359
236;;;14.4018;-57.0994;0;Bottom;Copper Fill279
237;;;94.4118;-55.2198;0;Bottom;Copper Fill280
238;;;55.3085;-81.1532;0;Bottom;Copper Fill122
239;0.22µF;0805 [SMD, multilayer];70.2902;-24.0258;-90;Top;C10
240;;;81.9785;-90.856;0;Bottom;Copper Fill578
241;100k;0805 [SMD];24.5702;-66.1083;-90;Top;R49
242;;;39.3866;-53.8568;0;Bottom;IMG1
243;0.22µF;0805 [SMD, multilayer];65.2102;-24.0258;-90;Top;C29
244;;;22.1234;-85.0775;0;Bottom;Copper Fill366
245;0.22µF;0805 [SMD, multilayer];49.9702;-24.0258;-90;Top;C4
246;;;58.6486;-19.0883;0;Bottom;Copper Fill371
247;0.1µF;0805 [SMD, multilayer];62.6702;-17.9932;-90;Top;C26
248;;;9.9441;-90.348;0;Bottom;Copper Fill96
249;;;94.4118;-65.3798;0;Bottom;Copper Fill268
250;0.1µF;0805 [SMD, multilayer];67.7502;-17.9932;-90;Top;C28
251;;;56.2737;-90.856;0;Bottom;Copper Fill575
252;0.1µF;0805 [SMD, multilayer];42.0327;-24.0258;-90;Top;C1
253;;;80.3656;-24.5112;0;Bottom;Copper Fill63
254;0.1µF;0805 [SMD, multilayer];72.8302;-17.9932;-90;Top;C9
255;;;5.2832;-33.0583;0;Bottom;Copper Fill430
256;;;41.3874;-50.0393;0;Bottom;TXT11
257;;;11.7348;-23.4063;0;Bottom;Copper Fill454
258;;;87.0458;-58.3948;0;Bottom;Copper Fill275
259;;;78.8289;-39.2432;0;Bottom;Copper Fill80
260;;;89.7128;-40.5132;0;Bottom;Copper Fill32
261;;;22.9827;-42.5133;0;Bottom;Via131
262;;;86.7918;-27.5084;0;Bottom;Copper Fill328
263;;;15.0241;-83.49;0;Bottom;Copper Fill507
264;;;41.0972;-7.6583;0;Bottom;Copper Fill526
265;;;68.1992;-74.5028;0;Bottom;TXT1
266;1k;0805 [SMD];41.7152;-81.4932;-90;Top;R11
267;;;31.3436;-9.2331;0;Bottom;Copper Fill236
268;;;95.1738;-28.2831;0;Bottom;Copper Fill143
269;;;80.8736;-19.3931;0;Bottom;Copper Fill139
