*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.0.8 (Grounded)
*Date=14:52:36
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
207;;300 mil [THT];76.6922;-87.0367;-90;Bottom;D15
208;;;59.1693;-18.3136;0;Bottom;Copper Fill391
209;;;97.3772;-7.83258;-90;Bottom;TXT4
210;;;57.3532;-71.0567;0;Bottom;Copper Fill454
211;;;21.1074;-46.9902;0;Bottom;Copper Fill260
212;;;80.1497;-93.6246;0;Bottom;Copper Fill525
213;;;95.3389;-28.1688;0;Bottom;Copper Fill317
214;;THT;49.0697;-89.5513;90;Bottom;J189
215;;;12.5571;-33.9888;0;Bottom;Via72
216;;;4.2545;-84.4044;0;Bottom;Copper Fill166
217;;;29.9212;-12.3954;0;Bottom;Copper Fill61
218;;;62.3636;-8.33647;0;Bottom;IMG1
219;;;94.7928;-66.0656;0;Bottom;Copper Fill244
220;2.2;0805 [SMD];67.5572;-58.4363;0;Top;R66
221;;;94.7928;-40.6656;0;Bottom;Copper Fill270
222;;;61.1886;-43.5739;0;Bottom;Copper Fill449
223;;;40.5892;-22.2887;0;Bottom;Copper Fill141
224;;;12.6873;-50.343;0;Bottom;Copper Fill511
225;;;6.3881;-14.9862;0;Bottom;Copper Fill438
226;;;59.9313;-14.91;0;Bottom;Copper Fill407
227;;;20.574;-74.6635;0;Bottom;Copper Fill151
228;;;50.2793;-10.4142;0;Bottom;Copper Fill380
229;;;80.5688;-66.0783;0;Bottom;Copper Fill354
230;;;49.9872;-50.0128;0;Bottom;Copper Fill37
231;;;54.1528;-30.7342;0;Bottom;Copper Fill282
232;;;21.1074;-13.9702;0;Bottom;Copper Fill309
233;;;69.3293;-89.9416;0;Bottom;Copper Fill528
234;;;71.2946;-47.0063;0;Bottom;Via101
235;;;94.7928;-71.1456;0;Bottom;Copper Fill8
236;;;72.9234;-28.0418;0;Bottom;Copper Fill47
237;;;45.2374;-93.269;0;Bottom;Copper Fill206
238;;;76.5302;-76.1748;0;Bottom;Copper Fill232
239;;;81.0641;-38.9892;0;Bottom;Copper Fill129
240;;;20.9042;-59.1187;0;Bottom;Copper Fill340
241;;;43.9896;-60.0238;0;Bottom;Via98
242;;;32.4993;-56.4644;0;Bottom;Copper Fill146
243;;;50.2793;-22.4284;0;Bottom;Copper Fill503
244;;;83.1088;-55.9691;0;Bottom;Copper Fill469
245;;;75.9841;-22.7586;0;Bottom;Copper Fill117
246;;THT;54.1497;-92.0913;90;Bottom;J190
247;;;73.9394;-64.5035;0;Bottom;Copper Fill399
248;;;72.5646;-48.5938;0;Bottom;Via103
249;;;72.0344;-92.4435;0;Bottom;Copper Fill201
250;10k;0805 [SMD];36.3697;-24.7088;-90;Top;R54
251;;;60.4012;-93.269;0;Bottom;Copper Fill212
252;;;12.5476;-53.0862;0;Bottom;Copper Fill22
253;;;41.1321;-22.2413;0;Bottom;Via127
