*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.2.0
*Date=21:01:40
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
163;100k;0805 [SMD];16.6847;-84.1044;-90;Top;R14
164;;;4.2545;-91.4148;0;Bottom;Copper Fill504
165;2.2;0805 [SMD];2.46969;-36.8694;0;Top;R73
166;;;42.9306;-54.1668;0;Bottom;IMG1
167;;;94.7928;-40.3608;0;Bottom;Copper Fill297
168;;;57.4802;-41.0339;0;Bottom;Copper Fill205
169;;sma-diode;12.3122;-43.8544;180;Top;D18
170;;;42.5196;-21.3743;0;Bottom;Copper Fill406
171;;0805 [SMD];6.76962;-43.8544;180;Top;LED6
172;;;73.5171;-64.1744;0;Bottom;Via8
173;;;53.0352;-38.4304;0;Bottom;Copper Fill41
174;;;22.0345;-84.0996;0;Bottom;Copper Fill501
175;;;49.0093;-64.5416;0;Bottom;Copper Fill193
176;;;61.1886;-61.3539;0;Bottom;Copper Fill442
177;;;36.6871;-11.152;0;Bottom;Via124
178;0.22µF;0805 [SMD, multilayer];60.4997;-32.3519;-90;Top;C8
179;100k;0805 [SMD];34.1472;-84.1044;-90;Top;R9
180;1µF;0805 [SMD, multilayer];6.13463;-28.932;0;Top;C20
181;;;81.5594;-65.8243;0;Bottom;Copper Fill377
182;;;16.2306;-67.7039;0;Bottom;Copper Fill527
183;;;49.9872;-71.7806;0;Bottom;Copper Fill282
184;;;2.0193;-79.934;0;Bottom;Copper Fill118
185;;;91.2241;-91.8974;0;Bottom;Copper Fill215
186;100k;0805 [SMD];28.1147;-66.6419;-90;Top;R49
187;;THT;46.5297;-89.2569;90;Bottom;J63
188;;;50.673;-22.9872;0;Bottom;Copper Fill54
189;100 nF;0805 [SMD, multilayer];70.6597;-24.7319;-90;Top;C29
