*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.2.0
*Date=21:01:40
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
408;;;94.7928;-35.2808;0;Bottom;Copper Fill46
409;;;68.4371;-40.6794;0;Bottom;Via90
410;;;29.8958;-81.2294;0;Bottom;Copper Fill236
411;;;21.1328;-23.8;0;Bottom;Copper Fill64
412;;;70.5993;-23.2412;0;Bottom;Copper Fill492
413;;;52.0446;-19.4439;0;Bottom;Copper Fill356
414;;;21.1328;-21.3108;0;Bottom;Copper Fill66
415;;;83.7692;-46.7743;0;Bottom;Copper Fill432
416;;THT;54.1497;-89.2569;90;Bottom;J182
417;;THT;78.9147;-8.61193;-90;Bottom;JP4
418;;;95.9993;-33.2234;0;Bottom;Copper Fill175
419;;;57.3532;-70.7519;0;Bottom;Copper Fill489
420;;;2.0193;-80.8992;0;Bottom;Copper Fill117
421;;;21.4249;-58.344;0;Bottom;Copper Fill362
422;;;95.9993;-92.6848;0;Bottom;Copper Fill524
423;;;39.1541;-9.449;0;Bottom;Copper Fill131
424;;;21.1328;-13.6908;0;Bottom;Copper Fill346
425;;;57.8993;-17.2722;0;Bottom;Copper Fill447
426;;;34.1249;-34.8744;0;Bottom;Copper Fill122
427;1k;0805 [SMD];91.2972;-13.9369;-90;Top;R60
